country,sftgcode,forecast.year,mean_p,rf.p,threat.p,harff.p,year,imr.normed.ln,mev.regac.ln,postcw,cou.tries5d,pol.cat.fl2,pol.cat.fl3,pol.cat.fl7,pol.durable.ln,gdppcgrow.sr,mev.civtot.ln,ios.iccpr1,wdi.popsize.ln,coup.p,cwar.p,reg.eap,reg.eur,reg.mna,reg.sca,reg.amr,pol.cat.pitf2,pol.cat.pitf3,pol.cat.pitf4,pol.cat.pitf5,pol.cat.pitf6,dis.l4pop.ln,pitf.p,mkl.ever,pit.sftpuhvl2.10.ln,pol.autoc,elc.eliti,elc.elethc,wdi.trade.ln,reg.afr,mkl.ongoing,countryage.ln,pol.cat.fl1,elf.ethnicc1,elf.ethnicc2,elf.ethnicc3,elf.ethnicc9,elc.eleth1,elc.eleth2,date,mean_pPER,rf.pPER,threat.pPER,harff.pPER,imr.normed.lnPER,mev.regac.lnPER,postcwPER,cou.tries5dPER,pol.cat.fl2PER,pol.cat.fl3PER,pol.cat.fl7PER,pol.durable.lnPER,gdppcgrow.srPER,mev.civtot.lnPER,ios.iccpr1PER,wdi.popsize.lnPER,coup.pPER,cwar.pPER,reg.eapPER,reg.eurPER,reg.mnaPER,reg.scaPER,reg.amrPER,pol.cat.pitf2PER,pol.cat.pitf3PER,pol.cat.pitf4PER,pol.cat.pitf5PER,pol.cat.pitf6PER,dis.l4pop.lnPER,pitf.pPER,mkl.everPER,pit.sftpuhvl2.10.lnPER,pol.autocPER,elc.elitiPER,elc.elethcPER,wdi.trade.lnPER,reg.afrPER,mkl.ongoingPER,countryage.lnPER,pol.cat.fl1PER,elf.ethnicc1PER,elf.ethnicc2PER,elf.ethnicc3PER,elf.ethnicc9PER,elc.eleth1PER,elc.eleth2PER
Myanmar,MYA,2016,0.128981243,0.065,0.034257524,0.287686206,2015,0.826580169,3.044522438,1,0,0,0,1,0,2.48009636,1.609437912,0,10.8948301,0.051298031,0.071327629,1,0,0,0,0,0,0,0,0,1,2.014903021,0.109200744,1,3.258096538,0,0,1,-1.175051928,0,1,4.219507705,0,0,1,0,0,1,0,4/8/17,1,0.981,0.937,1,0.72,0.801,0,0,0,0,0.962,0,0.968,0.925,0,0.85,0.838,0.975,0.881,0,0,0,0,0,0,0,0,0.962,0.85,0.956,0.608,0.925,0,0,0.683,0,0,0.956,0.577,0,0,0.652,0,0,0.757,0
Sudan,SUD,2016,0.076668418,0.154,0.060222882,0.015782373,2015,1.016971601,3.218875825,1,1,1,0,0,1.609437912,0.643605958,1.945910149,0,10.60249254,0.146743961,0.064107667,0,0,0,0,0,0,0,0,0,0,0,0.018760841,1,2.833213344,1,1,1,2.950671765,1,1,4.094344562,0,0,0,1,0,1,0,4/8/17,0.993,1,0.987,0.813,0.807,0.894,0,0.913,0.745,0,0,0.18,0.285,0.975,0,0.801,0.981,0.962,0,0,0,0,0,0,0,0,0,0,0,0.434,0.608,0.857,0.757,0.919,0.683,0.012,0.72,0.956,0.527,0,0,0,0.683,0,0.757,0
Afghanistan,AFG,2016,0.047023167,0.059,0.061446869,0.020622631,2015,1.798298004,2.944438979,1,0,1,0,0,0.693147181,-0.918590549,1.386294361,0,10.38982579,0.117882493,0.076654434,0,0,0,1,0,1,0,0,0,0,0,0.081630704,1,3.688879454,1,0,0,3.967903471,0,0,4.574710979,0,0,0,1,0,0,0,4/8/17,0.987,0.975,0.993,0.888,1,0.77,0,0,0.745,0,0,0.074,0.142,0.906,0,0.757,0.95,0.987,0,0,0,0.931,0,0.906,0,0,0,0,0,0.875,0.608,1,0.757,0,0,0.204,0,0,0.658,0,0,0,0.683,0,0,0
Nigeria,NIG,2016,0.046261382,0.091,0.025424447,0.022359698,2015,1.33901185,2.48490665,1,0,0,1,0,0,-0.307737046,1.609437912,0,12.11287124,0.080250959,0.037222763,0,0,0,0,0,0,0,1,0,0,1.62924054,0.071279737,1,3.135494216,0,0,0,3.433239509,1,1,4.025351691,0,0,0,1,0,0,0,4/8/17,0.981,0.993,0.906,0.913,0.944,0.621,0,0,0,0.434,0,0,0.198,0.925,0,0.962,0.925,0.844,0,0,0,0,0,0,0,0.664,0,0,0.819,0.832,0.608,0.906,0,0,0,0.037,0.72,0.956,0.397,0,0,0,0.683,0,0,0
Yemen,YEM,2016,0.045692889,0.07,0.038539919,0.02853875,2015,0.943061171,3.091042453,1,0,0,0,1,0,-5.494643007,1.609437912,0,10.19735048,0.07720549,0.060894082,0,0,1,0,0,0,0,0,0,1,0,0.085606996,0,3.433987204,0,0,1,4.407647849,0,0,3.258096538,0,0,0,0,1,1,0,4/8/17,0.975,0.987,0.962,0.956,0.776,0.813,0,0,0,0,0.962,0,0,0.925,0,0.701,0.919,0.944,0,0,0.894,0,0,0,0,0,0,0.962,0,0.9,0,0.944,0,0,0.683,0.521,0,0,0.161,0,0,0,0,0.975,0.757,0
Burundi,BUI,2016,0.043779689,0.043,0.054606425,0.033732642,2015,1.178029081,3.17805383,1,1,1,0,0,0,-2.521172313,0.693147181,0,9.321792297,0.212640983,0.044023281,0,0,0,0,0,1,0,0,0,0,2.708050201,0.082896371,1,1.386294361,1,0,1,3.721032033,1,0,3.988984047,0,0,1,0,0,1,0,4/8/17,0.968,0.944,0.975,0.975,0.881,0.881,0,0.913,0.745,0,0,0,0.037,0.832,0,0.521,1,0.888,0,0,0,0,0,0.906,0,0,0,0,0.9,0.881,0.608,0.782,0.757,0,0.683,0.086,0.72,0,0.341,0,0,0.652,0,0,0.757,0
Mali,MLI,2016,0.040365565,0.043,0.057641581,0.020455114,2015,1.679895642,2.397895273,1,1,1,0,0,1.098612289,1.685617369,0.693147181,1,9.775654181,0.199233652,0.049057124,0,0,0,0,0,0,0,1,0,0,1.945910149,0.098588886,0,2.708050201,0,0,0,4.021233813,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.962,0.944,0.981,0.881,0.993,0.596,0,0.913,0.745,0,0,0.13,0.72,0.832,0.354,0.621,0.993,0.913,0,0,0,0,0,0,0,0.664,0,0,0.832,0.925,0,0.838,0,0,0,0.242,0.72,0,0.397,0,0,0,0.683,0,0,0
Central African Republic,CEN,2016,0.038168857,0.05,0.045960176,0.018546396,2015,1.55945575,2.564949357,1,1,0,0,1,0,1.517445621,1.386294361,1,8.496990484,0.196615424,0.038245426,0,0,0,0,0,0,0,0,0,1,0,0.074351096,0,3.36729583,0,0,0,3.901265701,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.956,0.962,0.968,0.863,0.981,0.627,0,0.913,0,0,0.962,0,0.614,0.906,0.354,0.279,0.987,0.85,0,0,0,0,0,0,0,0,0,0.962,0,0.85,0,0.937,0,0,0,0.173,0.72,0,0.397,0,0,0,0.683,0,0,0
Pakistan,PAK,2016,0.036249221,0.009,0.016517258,0.083230403,2015,1.072111868,2.772588722,1,0,0,1,0,2.079441542,1.665035771,1.945910149,0,12.14910539,0.041379283,0.037000618,0,0,0,1,0,0,1,0,0,0,3.17805383,0.215499609,1,3.63758616,0,0,1,3.434041598,0,0,4.234106505,0,0,0,1,0,1,0,4/8/17,0.95,0.85,0.826,0.993,0.844,0.658,0,0,0,0.434,0,0.217,0.695,0.975,0,0.968,0.788,0.838,0,0,0,0.931,0,0,0.869,0,0,0,0.944,0.993,0.608,0.987,0,0,0.683,0.043,0,0,0.602,0,0,0,0.683,0,0.757,0
Iraq,IRQ,2016,0.036170101,0.028,0.009161094,0.071349209,2015,0.676744696,3.091042453,1,0,0,1,0,0.693147181,-0.418538538,1.609437912,0,10.48765657,0.040742985,0.019611832,0,0,1,0,0,0,1,0,0,0,3.258096538,0.265137694,1,3.63758616,0,0,1,4.156811588,0,0,4.430816799,0,0,1,0,0,1,0,4/8/17,0.944,0.919,0.732,0.987,0.658,0.813,0,0,0,0.434,0,0.074,0.192,0.925,0,0.77,0.782,0.658,0,0,0.894,0,0,0,0.869,0,0,0,0.956,1,0.608,0.987,0,0,0.683,0.322,0,0,0.633,0,0,0.652,0,0,0.757,0
Congo-Kinshasa,ZAI,2016,0.034825612,0.023,0.067301487,0.014175349,2015,1.321948247,2.708050201,1,1,1,0,0,2.302585093,2.146436029,1.945910149,1,11.25502224,0.137781814,0.076229274,0,0,0,0,0,0,0,1,0,0,1.098612289,0.061465057,1,3.258096538,0,0,0,4.279597514,1,1,4.025351691,0,0,0,1,0,0,0,4/8/17,0.937,0.9,1,0.776,0.931,0.633,0,0.913,0.745,0,0,0.236,0.9,0.975,0.354,0.894,0.968,0.981,0,0,0,0,0,0,0,0.664,0,0,0.776,0.795,0.608,0.925,0,0,0,0.403,0.72,0.956,0.397,0,0,0,0.683,0,0,0
Somalia,SOM,2016,0.03403425,0.058,0.029388513,0.014714238,2015,1.641609639,2.197224577,1,0,1,0,0,1.386294361,-1.21822645,1.791759469,1,9.286096984,0.095227732,0.038727515,0,0,0,0,0,0,0,1,0,0,0,0.06434713,1,3.583518938,0,0,0,4.322324248,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.931,0.968,0.919,0.788,0.987,0.211,0,0,0.745,0,0,0.161,0.124,0.962,0.354,0.496,0.937,0.857,0,0,0,0,0,0,0,0.664,0,0,0,0.807,0.608,0.975,0,0,0,0.428,0.72,0,0.397,0,0,0,0.683,0,0,0
